iter	Logloss
0	0.6864114693
1	0.6805309524
2	0.6743636467
3	0.6683009909
4	0.6647814797
5	0.6594551169
6	0.6547856141
7	0.6487721139
8	0.6434927513
9	0.6385185137
10	0.6354861447
11	0.631074594
12	0.6267702457
13	0.62239898
14	0.6180668476
15	0.6134636109
16	0.6108449217
17	0.6070072865
18	0.6030255094
19	0.5984060107
20	0.5960343454
21	0.5918335473
22	0.5884193897
23	0.5853365308
24	0.5815286452
25	0.5783390391
26	0.5743626315
27	0.5709988384
28	0.5677870741
29	0.5640394301
30	0.5620605144
31	0.559152137
32	0.5564567349
33	0.5533184341
34	0.5516466699
35	0.5489838794
36	0.5473886206
37	0.5443651773
38	0.5413645396
39	0.5387454253
40	0.5360053769
41	0.5336925645
42	0.5310593321
43	0.5290161106
44	0.5265125082
45	0.5242594264
46	0.5217474841
47	0.519859987
48	0.5174630175
49	0.5153970918
50	0.5133255708
51	0.5113527364
52	0.5094225781
53	0.507886543
54	0.5067839066
55	0.5050991302
56	0.5033151532
57	0.5013941658
58	0.4996119118
59	0.4980871202
60	0.4972124021
61	0.4958573046
62	0.4937768967
63	0.4918700206
64	0.4906098451
65	0.4890305292
66	0.4878156255
67	0.4862134716
68	0.4854182397
69	0.4845033778
70	0.4831125231
71	0.4819837902
72	0.4812519727
73	0.4800601806
74	0.4786858366
75	0.4776713107
76	0.4773529246
77	0.4764382059
78	0.475186192
79	0.474623026
80	0.4740719053
81	0.473263742
82	0.4717765461
83	0.4705999347
84	0.4693087408
85	0.468020669
86	0.4670023796
87	0.465937395
88	0.4650446459
89	0.4640864983
90	0.4633500916
91	0.4626992336
92	0.4618896436
93	0.4612649258
94	0.460412865
95	0.4592089984
96	0.458384555
97	0.4580202048
98	0.4570813719
99	0.4561897072
100	0.4554006339
101	0.454650254
102	0.4539757137
103	0.4528834386
104	0.4526301471
105	0.4522060535
106	0.4518916511
107	0.4514867064
108	0.4508622135
109	0.4504590164
110	0.4503271854
111	0.4501292936
112	0.4495550623
113	0.4489203501
114	0.4481368016
115	0.4477050844
116	0.4472398701
117	0.4467633193
118	0.4464358267
119	0.4455461843
120	0.4451482462
121	0.4442900399
122	0.4436649725
123	0.4432940318
124	0.4431824558
125	0.4427905373
126	0.4423409989
127	0.4421088852
128	0.4415748801
129	0.4412137888
130	0.4408573539
131	0.4403701629
132	0.4398942997
133	0.4394380666
134	0.4389887741
135	0.4384554024
136	0.4383026569
137	0.4376215661
138	0.4372440744
139	0.4370852898
140	0.436795767
141	0.4366514544
142	0.4362204661
143	0.4359387439
144	0.4355002622
145	0.4352890013
146	0.4346378309
147	0.4341651243
148	0.4337872519
149	0.4337073637
150	0.4334728163
151	0.4332182222
152	0.4331372381
153	0.4330124456
154	0.4326705459
155	0.4320648197
156	0.4318337424
157	0.4314956284
158	0.4309412737
159	0.4306707824
160	0.4302243635
161	0.4300700871
162	0.4295070395
163	0.4294276295
164	0.4291287484
165	0.428933993
166	0.4288718231
167	0.4287109228
168	0.428352797
169	0.4282637081
170	0.4278758354
171	0.4277863458
172	0.4275551377
173	0.427412954
174	0.42678644
175	0.4267331611
176	0.4265808857
177	0.4263416089
178	0.4261276801
179	0.425964224
180	0.4254565961
181	0.4253678627
182	0.4252251506
183	0.4251530924
184	0.4250996923
185	0.4250515329
186	0.4246065816
187	0.4245383698
188	0.4242992905
189	0.4238964151
190	0.4236389201
191	0.4235922765
192	0.4235477273
193	0.4233227871
194	0.4232665241
195	0.4230223043
196	0.4228711808
197	0.4225942641
198	0.4222595175
199	0.4220181886
200	0.4219226973
201	0.4218415706
202	0.4217294154
203	0.4216164157
204	0.4214934859
205	0.4214414983
206	0.4212816282
207	0.4211763389
208	0.4211263131
209	0.4210065956
210	0.4209002527
211	0.4205876977
212	0.420203441
213	0.4200536086
214	0.4198400609
215	0.4197365343
216	0.4196933608
217	0.4196588161
218	0.4196408739
219	0.4195632586
220	0.4194102584
221	0.4190825379
222	0.4190346092
223	0.4187102321
224	0.4185241773
225	0.4183747563
226	0.4181807211
227	0.4178627233
228	0.4177265012
229	0.4173391169
230	0.4172042985
231	0.4170514866
232	0.4169378503
233	0.416739755
234	0.4167040508
235	0.4166697445
236	0.4164964682
237	0.4164226935
238	0.4163419434
239	0.4161571995
240	0.4160774961
241	0.4156946277
242	0.4156388397
243	0.4153626707
244	0.4153177543
245	0.4151877386
246	0.4151051841
247	0.4150265047
248	0.4148525602
249	0.4144486975
250	0.4144343896
251	0.4143823128
252	0.4142636461
253	0.4141894379
254	0.4140897456
255	0.4140640339
256	0.4138924108
257	0.4137119148
258	0.413635845
259	0.4134587811
260	0.4132624179
261	0.4131000985
262	0.4129768814
263	0.4129525963
264	0.4128793443
265	0.4128521889
266	0.4128281666
267	0.4125412423
268	0.4124877183
269	0.4124450795
270	0.412403342
271	0.412353513
272	0.4121726045
273	0.4120314042
274	0.4119896575
275	0.411978784
276	0.4119667582
277	0.411728345
278	0.4116682588
279	0.4116413256
280	0.411504437
281	0.4114461578
282	0.4113136941
283	0.4110822392
284	0.4109971227
285	0.4108328504
286	0.4107300919
287	0.4107009055
288	0.4106905584
289	0.4104948684
290	0.4104358344
291	0.4102374173
292	0.4102166656
293	0.4101310008
294	0.4100512398
295	0.4099530671
296	0.4098617685
297	0.4097679968
298	0.4097515118
299	0.4096945736
300	0.4095776287
301	0.4095077043
302	0.409464834
303	0.4094156864
304	0.4092944428
305	0.4091252542
306	0.4091132485
307	0.4087910185
308	0.408630482
309	0.4084709985
310	0.4084524083
311	0.4083426338
312	0.4082932207
313	0.4080338056
314	0.4079883767
315	0.4078732498
316	0.4078553939
317	0.4076896551
318	0.4076744634
319	0.4074800918
320	0.4074553915
321	0.4074450845
