iter	Passed	Remaining
0	22	11097
1	40	10040
2	61	10216
3	83	10389
4	94	9382
5	112	9283
6	131	9236
7	153	9447
8	174	9537
9	192	9436
10	203	9039
11	217	8849
12	232	8703
13	250	8702
14	268	8686
15	290	8800
16	301	8579
17	316	8467
18	338	8574
19	362	8697
20	373	8512
21	394	8576
22	409	8495
23	431	8566
24	453	8620
25	467	8531
26	489	8577
27	513	8660
28	537	8726
29	562	8806
30	576	8725
31	594	8693
32	609	8626
33	634	8696
34	645	8573
35	663	8554
36	675	8451
37	697	8483
38	719	8508
39	743	8555
40	765	8572
41	784	8550
42	805	8563
43	824	8547
44	846	8560
45	868	8567
46	889	8571
47	904	8513
48	926	8529
49	949	8542
50	982	8648
51	1010	8709
52	1029	8686
53	1049	8665
54	1063	8601
55	1080	8570
56	1099	8541
57	1120	8536
58	1142	8539
59	1161	8514
60	1171	8432
61	1190	8410
62	1213	8414
63	1235	8414
64	1257	8412
65	1279	8412
66	1293	8360
67	1315	8359
68	1329	8305
69	1344	8256
70	1365	8249
71	1386	8244
72	1401	8198
73	1420	8177
74	1443	8177
75	1461	8152
76	1478	8121
77	1495	8089
78	1517	8084
79	1528	8024
80	1539	7965
81	1566	7983
82	1596	8018
83	1620	8027
84	1646	8037
85	1667	8028
86	1691	8029
87	1713	8021
88	1731	7998
89	1753	7989
90	1772	7965
91	1799	7978
92	1821	7971
93	1843	7961
94	1865	7951
95	1887	7942
96	1908	7930
97	1919	7874
98	1941	7865
99	1963	7853
100	1986	7847
101	2004	7821
102	2022	7797
103	2045	7790
104	2067	7777
105	2089	7765
106	2103	7727
107	2125	7714
108	2143	7688
109	2166	7680
110	2181	7644
111	2199	7621
112	2218	7596
113	2239	7584
114	2261	7571
115	2279	7545
116	2301	7533
117	2322	7518
118	2339	7490
119	2361	7478
120	2378	7450
121	2400	7438
122	2422	7424
123	2437	7391
124	2448	7344
125	2463	7311
126	2481	7287
127	2496	7254
128	2518	7244
129	2535	7215
130	2553	7192
131	2572	7170
132	2590	7149
133	2612	7136
134	2635	7126
135	2660	7120
136	2676	7092
137	2699	7082
138	2721	7068
139	2732	7026
140	2751	7004
141	2772	6990
142	2795	6979
143	2818	6966
144	2839	6950
145	2853	6917
146	2875	6903
147	2896	6889
148	2914	6866
149	2925	6825
150	2939	6794
151	2961	6780
152	2976	6751
153	2988	6713
154	3006	6692
155	3028	6677
156	3043	6648
157	3065	6634
158	3086	6620
159	3105	6598
160	3126	6582
161	3141	6554
162	3163	6540
163	3177	6509
164	3199	6496
165	3217	6474
166	3228	6437
167	3250	6423
168	3271	6407
169	3287	6380
170	3309	6367
171	3320	6331
172	3338	6310
173	3358	6292
174	3381	6280
175	3393	6246
176	3414	6231
177	3432	6210
178	3451	6188
179	3465	6160
180	3487	6146
181	3509	6131
182	3524	6104
183	3534	6070
184	3545	6037
185	3557	6005
186	3579	5990
187	3590	5958
188	3608	5937
189	3630	5923
190	3652	5909
191	3667	5883
192	3679	5853
193	3703	5841
194	3718	5816
195	3743	5806
196	3763	5788
197	3785	5773
198	3806	5758
199	3825	5738
200	3840	5712
201	3854	5686
202	3872	5666
203	3887	5640
204	3901	5614
205	3917	5591
206	3942	5580
207	3963	5563
208	3978	5539
209	3997	5520
210	4011	5494
211	4035	5481
212	4057	5467
213	4079	5451
214	4097	5431
215	4115	5410
216	4127	5382
217	4138	5352
218	4148	5323
219	4163	5299
220	4182	5280
221	4204	5264
222	4218	5240
223	4240	5225
224	4262	5210
225	4285	5195
226	4307	5180
227	4330	5165
228	4353	5151
229	4374	5135
230	4392	5115
231	4411	5096
232	4429	5076
233	4453	5061
234	4464	5034
235	4479	5010
236	4501	4995
237	4515	4971
238	4537	4954
239	4559	4939
240	4579	4921
241	4601	4905
242	4616	4881
243	4637	4865
244	4655	4845
245	4674	4826
246	4687	4801
247	4706	4782
248	4725	4763
249	4754	4754
250	4766	4728
251	4782	4706
252	4802	4688
253	4821	4669
254	4839	4650
255	4850	4623
256	4872	4607
257	4894	4590
258	4913	4572
259	4934	4555
260	4956	4538
261	4975	4519
262	4992	4499
263	5007	4476
264	5025	4456
265	5039	4433
266	5053	4410
267	5075	4393
268	5090	4371
269	5105	4348
270	5120	4326
271	5135	4304
272	5156	4287
273	5178	4271
274	5197	4252
275	5208	4226
276	5219	4201
277	5241	4185
278	5255	4162
279	5266	4137
280	5288	4121
281	5303	4099
282	5326	4084
283	5348	4067
284	5366	4048
285	5389	4032
286	5404	4010
287	5419	3989
288	5433	3967
289	5455	3950
290	5473	3931
291	5496	3915
292	5507	3890
293	5528	3873
294	5546	3854
295	5569	3838
296	5588	3819
297	5606	3800
298	5619	3777
299	5637	3758
300	5659	3741
301	5677	3722
302	5697	3704
303	5715	3685
304	5737	3668
305	5759	3651
306	5769	3627
307	5795	3613
308	5824	3600
309	5848	3584
310	5859	3560
311	5881	3544
312	5901	3525
313	5924	3509
314	5942	3489
315	5964	3472
316	5974	3449
317	5996	3432
318	6010	3410
319	6033	3393
320	6047	3372
321	6058	3348
322	6072	3327
323	6094	3310
324	6116	3293
325	6128	3271
326	6142	3249
327	6157	3228
328	6175	3209
329	6185	3186
330	6200	3165
331	6218	3146
332	6229	3124
333	6243	3103
334	6254	3080
335	6264	3057
336	6286	3040
337	6305	3022
